드롭다운이름,lat,lon,사고건수,가로등수
강서구 고가차도(서북서방향 278M),37.55924714864932,126.80334008578032,19,0
강서구 현대마트동원빌딩앞,37.54088144036864,126.83657557878726,19,0
강서구 진흥교회,37.55361981765452,126.86359551493925,15,0
강서구 강서보건소,37.54941722131786,126.86805052532283,13,0
강서구 양화교앞교차로,37.54710307726436,126.87774115785311,17,9
강서구 신월초교입구교차로,37.540167139632246,126.84134075884826,22,0
강서구 우장공원입구교차로,37.55312711008035,126.85103456968328,25,0
강서구 개화IC,37.58089885339268,126.7984829728086,21,0
강서구 화곡고가사거리(북북서방향 104M),37.529507992010174,126.84794774053945,24,12
강서구 등촌역,37.55138581864611,126.86400698809848,20,0
강서구 우장산역앞교차로,37.54795417795023,126.83650355791913,22,0
강서구 화곡터널입구교차로,37.538546966024605,126.84255487214017,20,0
강서구 개화사거리,37.57266312664976,126.80344065234605,21,0
강서구 88체육관입구교차로,37.558074264241505,126.84457361960914,22,0
강서구 외발산삼거리,37.54919505946799,126.81641427836593,23,0
강서구 한라한의원,37.53421086659061,126.84767796833023,23,0
강서구 강서구청입구교차로,37.555966765136674,126.85223987950387,26,0
강서구 목동284-73,37.54781622837786,126.87056553817837,27,0
강서구 화곡터널입구교차로,37.533397427838324,126.84572230200459,33,0
강서구 발산W타워앞,37.55886936533119,126.83300513372693,21,0
강서구 강서구청입구,37.55530278418098,126.85445938218105,27,0
강서구 김포공항입구교차로,37.56170448867342,126.80736292930844,35,10
강서구 가양역사거리,37.56092579619905,126.85510489801287,28,12
강서구 발산역앞교차로,37.558624180800926,126.83809869283947,34,0
강서구 마곡역교차로,37.55966236367974,126.82683507544986,30,0
관악구 원당초교입구교차로,37.48000644468954,126.95626859300538,29,0
관악구 신대방역교차로,37.48702850407633,126.9131508919177,27,68
관악구 서울대입구역앞교차로,37.48088816081146,126.95295539764554,34,0
관악구 신림역사거리(서방향 60M),37.48428202384382,126.92902852319996,28,0
관악구 봉림교앞교차로,37.483766327583005,126.92558052469933,25,0
관악구 대주빌딩,37.47916895601132,126.95750141558192,20,0
관악구 서울대입구역앞교차로(서북서방향 78M),37.481410308704795,126.95186967903733,20,0
관악구 신대방역교차로,37.486830597578646,126.9135807860092,26,65
관악구 한독빌딩,37.48693159520203,126.94742248970527,25,0
관악구 국민건강보험공단앞,37.47772354566264,126.91656464734541,19,0
관악구 디지털단지입구교차로,37.482333895961695,126.90122818469928,26,2
관악구 난곡우체국앞교차로,37.47776768706778,126.91528706458315,21,0
관악구 낙성대역앞교차로,37.477728895842745,126.96206969529875,29,0
관악구 봉천본동농협앞,37.481822370583245,126.946295447894,26,0
관악구 당곡사거리,37.48948890603458,126.92747448687484,25,0
관악구 신림빌딩(동방향 84M),37.483948234630105,126.92833913999812,29,0
관악구 신한은행사당지점,37.4766876493854,126.97738910347957,26,6
관악구 청암인터그린타워,37.48262456799874,126.92969716505495,26,0
관악구 낙성사거리,37.47799839719348,126.95965015103363,21,0
관악구 신림역사거리(동북동방향 99M),37.48449931207612,126.93079215086394,26,0
관악구 은천삼거리,37.48543938304213,126.95588099636986,24,0
관악구 서울대입구역앞교차로,37.48121247436566,126.95283082689825,36,0
관악구 구로디지털단지역앞교차로,37.48413725127873,126.90284264972583,28,55
관악구 미림여고입구교차로,37.471445543120225,126.93403731990686,35,0
관악구 원당초교입구교차로,37.48005131419892,126.95578241082569,37,0
관악구 난곡사거리,37.48201987570292,126.91449082678955,31,0
관악구 관악구청앞교차로,37.47890570570934,126.9523687398355,37,0
관악구 봉천로사거리,37.48214057633252,126.95298853123387,38,0
관악구 봉림교,37.483793938155046,126.9265076316705,37,0
관악구 신림역사거리,37.48426439578849,126.92968432195907,45,0
광진구 군자삼거리(남동방향 280M),37.55218698711328,127.07679608975414,14,0
광진구 건대입구역앞교차로,37.54018044105159,127.07076418019408,51,5
광진구 구의사거리,37.54508121819535,127.08538878188696,27,0
광진구 군자역사거리,37.55711359665267,127.07958527140447,24,0
광진구 아차산역사거리,37.550221818947456,127.09088316895901,22,0
광진구 군자교앞,37.55934271535243,127.07396263484259,21,74
광진구 중곡주유소,37.55809748245784,127.07687006167544,17,0
